economy,wbcodev2,Region,Income group,reportyr,WBL INDEX,STARTING A JOB,STARTING A JOB,,,,,,,,
Afghanistan,AFG,South Asia,Low income,2018,38.13,0.25,25,,,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,2018,91.25,1,100,,,,,,,,
Algeria,DZA,Middle East & North Africa,Upper middle income,2018,57.5,0.75,75,,,,,,,,
Angola,AGO,Sub-Saharan Africa,Lower middle income,2018,76.88,0.5,50,,,,,,,,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2018,69.38,0.5,50,,,,,,,,
Argentina,ARG,Latin America & Caribbean,Upper middle income,2018,76.25,0.5,50,,,,,,,,
Armenia,ARM,Europe & Central Asia,Lower middle income,2018,83.13,0.75,75,,,,,,,,
Australia,AUS,High income: OECD,High income,2018,96.88,1,100,,,,,,,,
Austria,AUT,High income: OECD,High income,2018,97.5,1,100,,,,,,,,
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2018,78.75,1,100,,,,,,,,
"Bahamas, The",BHS,Latin America & Caribbean,High income,2018,83.75,1,100,,,,,,,,
Bahrain,BHR,Middle East & North Africa,High income,2018,37.5,0.25,25,,,,,,,,
Bangladesh,BGD,South Asia,Lower middle income,2018,49.38,0.25,25,,,,,,,,
Barbados,BRB,Latin America & Caribbean,High income,2018,73.75,0.25,25,,,,,,,,
Belarus,BLR,Europe & Central Asia,Upper middle income,2018,78.75,0.5,50,,,,,,,,
Belgium,BEL,High income: OECD,High income,2018,100,1,100,,,,,,,,
Belize,BLZ,Latin America & Caribbean,Upper middle income,2018,79.38,0.75,75,,,,,,,,
Benin,BEN,Sub-Saharan Africa,Low income,2018,74.38,1,100,,,,,,,,
Bhutan,BTN,South Asia,Lower middle income,2018,69.38,1,100,,,,,,,,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2018,82.5,0,0,,,,,,,,
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2018,88.13,1,100,,,,,,,,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2018,60.63,0.25,25,,,,,,,,
Brazil,BRA,Latin America & Caribbean,Upper middle income,2018,81.88,1,100,,,,,,,,
Brunei Darussalam,BRN,East Asia & Pacific,High income,2018,53.13,0.25,25,,,,,,,,
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2018,93.75,1,100,,,,,,,,
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2018,76.88,1,100,,,,,,,,
Burundi,BDI,Sub-Saharan Africa,Low income,2018,73.13,0.5,50,,,,,,,,
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2018,86.25,1,100,,,,,,,,
Cambodia,KHM,East Asia & Pacific,Lower middle income,2018,75,0.75,75,,,,,,,,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2018,56.88,0,0,,,,,,,,
Canada,CAN,High income: OECD,High income,2018,97.5,1,100,,,,,,,,
Central African Republic,CAF,Sub-Saharan Africa,Low income,2018,71.25,0.75,75,,,,,,,,
Chad,TCD,Sub-Saharan Africa,Low income,2018,66.25,0.25,25,,,,,,,,
Chile,CHL,High income: OECD,High income,2018,77.5,0.75,75,,,,,,,,
China,CHN,East Asia & Pacific,Upper middle income,2018,76.25,0.5,50,,,,,,,,
Colombia,COL,Latin America & Caribbean,Upper middle income,2018,85,1,100,,,,,,,,
Comoros,COM,Sub-Saharan Africa,Low income,2018,58.75,0.25,25,,,,,,,,
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2018,70,0.5,50,,,,,,,,
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2018,46.25,0.25,25,,,,,,,,
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2018,80,1,100,,,,,,,,
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2018,78.13,0.75,75,,,,,,,,
